*** Execution for following Query  :
R_1 S_1
R S
R_2 1 S_2
AND
R_3 4 S_3
Replacer: Clock

heapR Size: 127
heapS Size: 19
After Copying....
Output: 
--------------------------
T1(ID)  T2(ID)
 1782601     1165630
 1782601     743887
 1782601     1154128
 1782601     886669
 1782601     1774601
 1782601     332751
 1782601     915468
 1782601     1151729
 1782601     1108807
 1782601     1467511
 1782601     236332
 1782601     656740
 1816234     148838
 1816234     1726810
 1816234     544577
 1816234     836580
 1816234     1165630
 1816234     743887
 1816234     1154128
 1816234     886669
 1816234     1774601
 1816234     332751
 1816234     915468
 1816234     1151729
 1816234     1108807
 1816234     1467511
 1816234     236332
 1816234     656740
 1823607     743887
 1823607     1154128
 1823607     886669
 1823607     1774601
 1823607     332751
 1823607     915468
 1823607     1151729
 1823607     1108807
 1823607     1467511
 1823607     236332
 1823607     656740
 1824499     545850
 1824499     148838
 1824499     1726810
 1824499     544577
 1824499     836580
 1824499     1165630
 1824499     743887
 1824499     1154128
 1824499     886669
 1824499     1774601
 1824499     332751
 1824499     915468
 1824499     1151729
 1824499     1108807
 1824499     1467511
 1824499     236332
 1824499     656740
 1824499     545850
 1824499     148838
 1824499     1726810
 1824499     544577
 1824499     836580
 1824499     1165630
 1824499     743887
 1824499     1154128
 1824499     886669
 1824499     1774601
 1824499     332751
 1824499     915468
 1824499     1151729
 1824499     1108807
 1824499     1467511
 1824499     236332
 1824499     656740
 1831422     836580
 1831422     1165630
 1831422     743887
 1831422     1154128
 1831422     886669
 1831422     1774601
 1831422     332751
 1831422     915468
 1831422     1151729
 1831422     1108807
 1831422     1467511
 1831422     236332
 1831422     656740
 1838104     1151729
 1838104     1108807
 1838104     1467511
 1838104     236332
 1838104     656740
 1838104     1151729
 1838104     1108807
 1838104     1467511
 1838104     236332
 1838104     656740
 1859082     1151729
 1859082     1108807
 1859082     1467511
 1859082     236332
 1859082     656740
 1862611     1726810
 1862611     544577
 1862611     836580
 1862611     1165630
 1862611     743887
 1862611     1154128
 1862611     886669
 1862611     1774601
 1862611     332751
 1862611     915468
 1862611     1151729
 1862611     1108807
 1862611     1467511
 1862611     236332
 1862611     656740
 1902939     236332
 1902939     656740
 1931855     975768
 1931855     545850
 1931855     148838
 1931855     1726810
 1931855     544577
 1931855     836580
 1931855     1165630
 1931855     743887
 1931855     1154128
 1931855     886669
 1931855     1774601
 1931855     332751
 1931855     915468
 1931855     1151729
 1931855     1108807
 1931855     1467511
 1931855     236332
 1931855     656740
 1932265     1151729
 1932265     1108807
 1932265     1467511
 1932265     236332
 1932265     656740
 1951450     886669
 1951450     1774601
 1951450     332751
 1951450     915468
 1951450     1151729
 1951450     1108807
 1951450     1467511
 1951450     236332
 1951450     656740
 1983082     1151729
 1983082     1108807
 1983082     1467511
 1983082     236332
 1983082     656740
 1993632     886669
 1993632     1774601
 1993632     332751
 1993632     915468
 1993632     1151729
 1993632     1108807
 1993632     1467511
 1993632     236332
 1993632     656740
Execution Completed 
Time elapsed : 22 ms
